일련번호,발령일,발령시간,발령지역,발령권역,농도,해제날짜,해제시간
93,2024-04-17,11:00,경남,김해권역,207,2024-04-18,19:00
94,2024-04-17,11:00,부산,남부권역,186,2024-04-17,16:00
95,2024-04-17,14:00,충북,남부권역,243,2024-04-18,22:00
96,2024-04-17,12:00,경남,남해권역,240,2024-04-17,21:00
97,2024-04-17,14:00,충남,동남부권역,232,2024-04-18,21:00
98,2024-04-17,15:00,경기,동부권,223,2024-04-18,19:00
99,2024-04-17,12:00,전남,동부권,231,2024-04-18,03:00
100,2024-04-17,14:00,대전,동부권역,218,2024-04-18,22:00
101,2024-04-17,10:00,부산,동부권역,228,2024-04-17,15:00
102,2024-04-17,11:00,전북,동부권역,220,2024-04-19,01:00
103,2024-04-17,11:00,경남,밀양권역,184,2024-04-19,15:00
104,2024-04-17,14:00,경기,북부권,221,2024-04-18,06:00
105,2024-04-17,15:00,충남,북부권역,234,2024-04-18,19:00
106,2024-04-17,11:00,경남,사천권역,203,2024-04-17,23:00
107,2024-04-17,12:00,경남,산청권역,224,2024-04-17,23:00
108,2024-04-17,12:00,전남,서부권,185,2024-04-18,21:00
109,2024-04-17,14:00,대전,서부권역,245,2024-04-18,22:00
110,2024-04-17,11:00,부산,서부권역,198,2024-04-17,20:00
111,2024-04-17,13:00,전북,서부권역,153,2024-04-18,20:00
112,2024-04-17,16:00,충남,서부권역,156,2024-04-18,17:00
113,2024-04-17,15:00,서울,서울권역,248,2024-04-18,17:00
114,2024-04-17,15:00,세종,세종권역,209,2024-04-18,20:00
115,2024-04-17,10:00,경남,양산권역,194,2024-04-18,17:00
116,2024-04-17,13:00,강원,영서남부,213,2024-04-18,22:00
117,2024-04-17,14:00,강원,영서북부,219,2024-04-18,17:00
118,2024-04-17,01:00,경북,울릉권역,352,2024-04-17,02:00
119,2024-04-17,08:00,울산,울산권역,177,2024-04-17,13:00
120,2024-04-17,12:00,경남,의령권역,173,2024-04-17,21:00
121,2024-04-17,11:00,제주,제주권역,182,2024-04-19,00:00
122,2024-04-17,14:00,경기,중부권,199,2024-04-18,18:00
123,2024-04-17,12:00,전남,중부권,217,2024-04-19,00:00
124,2024-04-17,12:00,부산,중부권역,202,2024-04-17,16:00
125,2024-04-17,13:00,전북,중부권역,204,2024-04-18,00:00
126,2024-04-17,14:00,충북,중부권역,228,2024-04-18,21:00
127,2024-04-17,12:00,경남,진주권역,196,2024-04-18,06:00
